property,version,truth,footnote-md
transfer-pot,v4,0,
transfer-pot,v5,0,
win-balance,v1,0,
win-balance-receive,v1,1,
win-balance-receive,v2,1,
win-balance-receive,v3,1,
win-balance-receive,v4,1,
win-balance-receive,v5,1,
win-balance-receive,v6,1,
win-balance-receive,v7,1,
win-balance-receive,v8,0,
win-balance-receive,v9,1,
win-balance-receive,v10,1,
win-frontrun,v1,1,
win-frontrun,v2,1,
win-frontrun,v3,1,
win-frontrun,v4,1,
win-frontrun,v5,1,
win-frontrun,v6,1,
win-frontrun,v7,1,
win-frontrun,v8,1,
win-frontrun,v9,0,
win-frontrun,v10,1,
win-frontrun-not-oracle,v1,0,
win-frontrun-not-oracle,v2,1,"Anyone can call a join() and take the role of player"
win-frontrun-not-oracle,v3,1,"Anyone can call a timeout() and transfer the pot to the owner"
win-frontrun-not-oracle,v4,0,
win-frontrun-not-oracle,v5,0,
win-frontrun-not-oracle,v6,0,
win-frontrun-not-oracle,v7,0,
win-frontrun-not-oracle,v8,0,
win-frontrun-not-oracle,v9,0,
win-frontrun-not-oracle,v10,0,
win-not-revert,v1,0,
win-not-revert,v2,0,
win-not-revert,v3,0,
win-not-revert,v4,0,
win-not-revert,v5,0,
win-not-revert,v6,0,
win-not-revert,v7,0,
win-not-revert,v8,0,
win-not-revert,v9,0,
win-not-revert,v10,0,
win-pot-receive,v1,1,
win-pot,v1,0,
win-pot,v2,0,
win-pot,v3,0,
win-pot,v4,0,
win-pot,v5,0,
win-pot,v6,0,
win-pot,v7,0,
win-pot,v8,0,
win-pot,v9,0,
win-pot,v10,0,
win-revert,v1,1,
win-revert,v2,1,
win-revert,v3,1,
win-revert,v4,1,
win-revert,v5,1,
win-revert,v6,1,
win-revert,v7,0,
win-revert,v8,1,
win-revert,v9,0,
win-revert,v10,1,
